Estación;Provincia;Temperatura máxima (ºC);Temperatura mínima (ºC);Temperatura media (ºC);Racha (km/h);Velocidad máxima (km/h);Precipitación 00-24h (mm);Precipitación 00-06h (mm);Precipitación 06-12h (mm);Precipitación 12-18h (mm)
Don Benito;Badajoz;14.8 (16:50);2.9 (04:40);8.9;44 (18:10);23 (21:20);0.0;0.0;0.0;0.0
Llerena;Badajoz;11.1 (14:10);3.6 (23:59);7.4;48 (19:50);26 (20:50);0.0;0.0;0.0;0.0
Villafranca de los Barros;Badajoz;13.5 (16:30);2.3 (04:20);7.9;45 (20:30);28 (20:30);0.0;0.0;0.0;0.0
Mérida;Badajoz;16.1 (15:00);1.1 (05:10);8.6;40 (17:50);22 (17:50);0.0;0.0;0.0;0.0
Zafra;Badajoz;12.6 (16:00);2.1 (04:30);7.4;40 (19:10);26 (19:10);0.0;0.0;0.0;0.0
Almendralejo;Badajoz;13.6 (16:10);4.0 (09:40);8.8;50 (18:20);35 (18:20);0.0;0.0;0.0;0.0
Badajoz Aeropuerto;Badajoz;16.0 (15:40);3.5 (03:10);9.8;41 (14:20);27 (14:30);0.0;0.0;0.0;0.0
Alburquerque;Badajoz;15.1 (16:20);0.6 (09:00);7.9;40 (23:20);24 (23:30);0.0;0.0;0.0;0.0
Puebla de Obando;Badajoz;13.6 (15:10);2.7 (05:30);8.2;46 (18:00);28 (16:30);0.0;0.0;0.0;0.0
Badajoz;Badajoz;16.3 (15:00);1.1 (04:20);8.7;41 (18:00);25 (18:00);0.0;0.0;0.0;0.0
Olivenza;Badajoz;14.3 (14:00);4.5 (08:20);9.4;41 (18:00);25 (14:30);0.0;0.0;0.0;0.0
Alconchel;Badajoz;14.4 (14:30);3.3 (05:20);8.8;46 (18:20);31 (18:20);0.0;0.0;0.0;0.0
Barcarrota;Badajoz;12.7 (15:20);0.1 (06:00);6.4;31 (19:00);16 (19:00);0.0;0.0;0.0;0.0
Villanueva del Fresno;Badajoz;14.7 (16:50);3.7 (06:00);9.2;37 (22:00);24 (18:30);0.0;0.0;0.0;0.0
Monesterio;Badajoz;11.2 (13:30);3.2 (23:59);7.2;36 (23:40);20 (21:50);0.0;0.0;0.0;0.0
Fuente de Cantos;Badajoz;9.5 (17:10);3.9 (23:59);6.7;55 (22:40);40 (22:40);0.0;0.0;0.0;0.0
Jerez de los Caballeros;Badajoz;11.6 (17:40);1.9 (07:10);6.8;44 (23:50);27 (18:10);0.0;0.0;0.0;0.0
Fregenal de la Sierra;Badajoz;9.3 (16:00);1.2 (04:30);5.3;35 (23:10);20 (23:10);0.0;0.0;0.0;0.0
Azuaga;Badajoz;12.3 (14:00);3.6 (23:59);8.0;42 (16:20);30 (22:20);0.0;0.0;0.0;0.0
Pontons;Barcelona;7.5 (10:40);2.8 (23:30);5.1;35 (11:50);21 (10:50);0.4;0.0;0.0;0.4
Vilafranca del Penedès;Barcelona;9.0 (12:40);2.3 (06:10);5.6;19 (00:20);11 (21:50);3.2;0.0;0.0;0.4
Sitges;Barcelona;12.0 (13:30);6.5 (23:50);9.3;35 (20:10);15 (21:00);0.2;0.0;0.0;0.0
Barcelona Aeropuerto;Barcelona;11.5 (14:20);5.8 (06:50);8.7;45 (20:30);36 (20:40);1.5;0.0;0.0;0.6
Berga;Barcelona;4.5 (12:20);0.0 (04:10);2.3;13 (00:20);8 (00:50);1.8;0.0;0.0;0.6
Balsareny;Barcelona;5.4 (13:50);-1.7 (03:40);1.9;12 (22:10);9 (18:30);0.8;0.0;0.0;0.0
Prats de Lluçanès;Barcelona;4.4 (13:00);-1.6 (05:10);1.4;25 (21:30);12 (21:40);3.6;0.0;0.0;1.2
Moià;Barcelona;4.7 (00:00);1.0 (23:00);2.8;23 (17:20);14 (17:10);7.8;0.0;0.0;1.2
Manresa;Barcelona;5.8 (16:00);-0.2 (06:20);2.8;17 (11:10);11 (11:00);3.6;0.0;0.0;0.0
Monistrol de Montserrat;Barcelona;7.5 (05:40);1.2 (23:50);4.4;;;3.4;0.0;0.0;1.2
Igualada;Barcelona;7.6 (13:20);0.6 (05:20);4.1;15 (13:50);7 (20:20);0.0;0.0;0.0;0.0
Corbera, Pic d'Agulles;Barcelona;7.2 (12:40);1.0 (23:40);4.1;;;4.8;0.0;0.0;0.4
Barcelona;Barcelona;10.9 (00:10);6.4 (23:40);8.6;48 (16:50);40 (16:50);5.8;0.0;0.0;3.3
Barcelona, Museo Marítimo;Barcelona;11.7 (13:00);7.3 (23:40);9.5;30 (16:30);12 (16:50);6.2;0.0;0.0;3.6
Caldes de Montbui;Barcelona;9.5 (13:00);1.4 (05:50);5.4;23 (17:00);10 (23:30);5.0;0.0;0.0;1.4
Vilassar de Dalt;Barcelona;11.8 (13:20);6.2 (21:00);9.0;31 (23:40);15 (15:40);3.8;0.0;0.0;1.6
Arenys de Mar;Barcelona;11.2 (12:20);4.7 (04:40);7.9;35 (22:30);12 (22:30);3.4;0.0;0.0;1.5
Santa Susanna;Barcelona;10.8 (00:20);3.0 (06:00);6.9;27 (00:20);13 (16:00);;;;
Fogars de Montclús;Barcelona;6.1 (10:30);0.1 (23:30);3.1;;;7.6;0.0;0.0;4.4
Tona;Barcelona;4.9 (15:10);0.0 (05:30);2.5;18 (15:30);8 (12:40);;;;
Sant Julià  de Vilatorta;Barcelona;4.1 (14:30);-1.1 (05:50);1.5;19 (23:10);11 (23:10);4.7;0.0;0.0;1.9
Lekeitio;Bizkaia;11.1 (02:50);4.5 (23:20);7.8;73 (12:50);60 (12:50);17.1;1.3;7.1;0.8
Forua;Bizkaia;9.4 (04:00);4.0 (21:00);6.7;46 (12:00);22 (15:30);35.2;9.4;12.6;7.6
Punta Galea;Bizkaia;10.3 (02:00);5.3 (16:20);7.8;56 (09:00);26 (11:10);27.5;11.0;8.6;5.5
Orozko;Bizkaia;6.9 (05:30);1.5 (20:30);4.2;32 (11:40);10 (14:10);22.0;2.8;1.8;13.2
Abadiño;Bizkaia;6.1 (00:40);0.0 (21:20);3.0;;;18.6;1.0;4.6;10.6
Amorebieta--Etxano;Bizkaia;8.4 (04:50);3.5 (19:10);5.9;49 (09:40);25 (09:40);25.4;5.6;6.4;10.4
Balmaseda;Bizkaia;8.0 (04:40);1.7 (23:59);4.9;;;26.6;4.0;7.6;10.4
Güeñes;Bizkaia;7.5 (04:40);2.1 (23:30);4.8;32 (12:10);17 (12:10);20.4;2.1;4.6;10.9
Bilbao Aeropuerto;Bizkaia;9.4 (11:40);4.2 (21:50);6.8;48 (15:20);29 (15:20);28.8;7.6;10.0;7.9
Sopuerta;Bizkaia;9.4 (02:20);2.1 (23:50);5.7;42 (11:00);22 (11:00);30.4;7.2;5.6;12.2
Coruña del Conde;Burgos;5.3 (13:20);-2.3 (22:50);1.5;49 (16:30);23 (16:40);2.2;0.0;0.0;2.2
Aranda de Duero;Burgos;8.0 (14:30);-3.4 (22:30);2.3;46 (16:40);20 (16:40);0.0;0.0;0.0;0.0
Pedrosa del Príncipe;Burgos;7.8 (14:40);-2.5 (03:00);2.7;37 (14:40);24 (14:30);1.6;0.0;0.0;1.6
